protocol_version,component,login_server_hello,login_server_key,login_client_hello,login_client_game_profile,play_server_client_information,configuration_server_client_information,configuration_server_resource_pack,play_client_update_tags,play_server_chat_ack,play_server_chat_command,play_server_chat_command_signed,play_server_chat,play_server_container_button_click,item_stack,play_server_container_click,attribute_modifier,data_component_type/food,data_component_type/equipable,data_component_type/potion_contents,data_component_type/profile,play_server_container_close,play_server_edit_book,play_server_interact,play_server_jigsaw_generate,play_server_move_player_pos,play_server_move_player_pos_rot,play_server_move_player_rot,play_server_move_player_status_only,play_server_place_recipe,play_server_player_abilities,play_server_player_action,play_server_player_input,play_server_set_beacon,play_server_set_jigsaw_block,play_server_sign_update,play_server_use_item_on,play_server_use_item,play_client_add_entity,play_client_block_entity_data,play_client_container_close,play_client_container_set_content,play_client_container_set_data,play_client_container_set_slot,play_client_cooldown,play_server_resource_pack,play_client_delete_chat,play_client_disguised_chat,play_client_explode,play_client_horse_screen_open,particle_type/entity_effect,position_source_type/block,position_source_type/entity,play_client_level_chunk_with_light,play_client_level_particles,play_client_light_update,play_client_login,play_client_map_item_data,play_client_merchant_offers,play_client_open_sign_editor,play_client_place_ghost_recipe,play_client_player_chat,play_client_player_combat_end,play_client_player_combat_kill,play_client_player_info_update,play_client_player_position,play_client_recipe,play_client_remove_mob_effect,play_client_respawn,play_client_server_data,play_client_set_default_spawn_position,play_client_set_display_objective,sync_entity_data_type/optional_global_pos,sync_entity_data_type/painting_variant,play_client_set_objective,play_client_set_score,play_client_sound_entity,play_client_sound,play_client_system_chat,play_client_update_advancements,play_client_update_attributes,play_client_update_mob_effect,play_client_projectile_power,play_client_update_recipes,recipe_serializer/crafting_shaped,ingredient,recipe_serializer/crafting_shapeless,simple_recipe_format,simple_cooking_format,play_client_add_mob,play_client_add_mob,play_client_chat,play_client_level_chunk,play_client_player_info,play_client_resource_pack,play_client_custom_sound,play_client_set_time,play_client_teleport_entity,play_server_recipe_book_seen_recipe,slot_display/smithing_trim,recipe_displat/furnace,recipe_displat/smithing,recipe_displat/stonecutter,play_client_recipe_book_add,particle_type/dust,particle_type/dust_color_transition,particle_type/trail,data_component_type/custom_model_data
1073741980,1073741978,1073741968,1073741929,498,1073741906,1073741872,1073741968,1073741968,1073741833,1073741928,1073741928,-1,1073741928,498,1073741968,1073741860,498,-1,-1,-1,-1,498,1073741860,729,719,498,498,498,1073741840,498,727,1073741898,498,1073741903,708,1073741951,1073741898,1073741898,1073741902,1073741865,498,1073741860,498,1073741860,498,498,1073741928,1073741928,1073741928,498,498,1073741899,1073741899,1073741956,1073741898,1073741956,1073741972,1073741830,1073741907,1073741951,498,1073741928,1073741960,1073741960,1073741929,1073741944,738,1073741894,1073741968,1073741943,741,1073741968,1073741908,1073741904,498,498,1073741902,1073741902,1073741919,1073741971,498,1073741899,-1,498,1073741943,498,1073741928,1073741928,1073741928,-1,-1,-1,-1,-1,1073741846,-1,498,498,498,-1,-1,-1,-1,-1,498,1073741832,-1,-1
1073741978,1073741978,1073741968,1073741929,498,1073741906,1073741872,1073741968,1073741968,1073741833,1073741928,1073741928,-1,1073741928,498,1073741968,1073741860,498,-1,-1,-1,-1,498,1073741860,729,719,498,498,498,1073741840,498,727,1073741898,498,1073741903,708,1073741951,1073741898,1073741898,1073741902,1073741865,498,1073741860,498,1073741860,498,498,1073741928,1073741928,1073741928,498,498,1073741899,1073741899,1073741956,1073741898,1073741956,1073741972,1073741830,1073741907,1073741951,498,1073741928,1073741960,1073741960,1073741929,1073741944,738,1073741894,1073741968,1073741943,741,1073741968,1073741908,1073741904,498,498,1073741902,1073741902,1073741919,1073741971,498,1073741899,-1,498,1073741943,498,1073741928,1073741928,1073741928,-1,-1,-1,-1,-1,1073741846,-1,498,498,498,-1,-1,-1,-1,-1,498,1073741832,-1,-1
764,498,1073741968,1073741929,498,1073741906,1073741872,1073741968,1073741968,1073741833,1073741928,1073741928,-1,1073741928,498,1073741968,1073741860,498,-1,-1,-1,-1,498,1073741860,729,719,498,498,498,1073741840,498,727,1073741898,498,1073741903,708,1073741951,1073741898,1073741898,1073741902,1073741865,498,1073741860,498,1073741860,498,498,1073741928,1073741928,1073741928,498,498,1073741899,1073741899,1073741956,1073741898,1073741956,1073741972,1073741830,1073741907,1073741951,498,1073741928,1073741960,1073741960,1073741929,1073741944,738,1073741894,1073741968,1073741943,741,1073741968,1073741908,1073741904,498,498,1073741902,1073741902,1073741919,1073741971,498,1073741899,-1,498,1073741943,498,1073741928,1073741928,1073741928,-1,-1,-1,-1,-1,1073741846,-1,498,498,498,-1,-1,-1,-1,-1,498,1073741832,-1,-1
1073741977,498,1073741968,1073741929,498,1073741906,1073741872,1073741968,1073741968,1073741833,1073741928,1073741928,-1,1073741928,498,1073741968,1073741860,498,-1,-1,-1,-1,498,1073741860,729,719,498,498,498,1073741840,498,727,1073741898,498,1073741903,708,1073741951,1073741898,1073741898,1073741902,1073741865,498,1073741860,498,1073741860,498,498,1073741928,1073741928,1073741928,498,498,1073741899,1073741899,1073741956,1073741898,1073741956,1073741972,1073741830,1073741907,1073741951,498,1073741928,1073741960,1073741960,1073741929,1073741944,738,1073741894,1073741968,1073741943,741,1073741968,1073741908,1073741904,498,498,1073741902,1073741902,1073741919,1073741971,498,1073741899,-1,498,1073741943,498,1073741928,1073741928,1073741928,-1,-1,-1,-1,-1,1073741846,-1,498,498,498,-1,-1,-1,-1,-1,498,1073741832,-1,-1
1073741976,498,1073741968,1073741929,498,1073741906,1073741872,1073741968,1073741968,1073741833,1073741928,1073741928,-1,1073741928,498,1073741968,1073741860,498,-1,-1,-1,-1,498,1073741860,729,719,498,498,498,1073741840,498,727,1073741898,498,1073741903,708,1073741951,1073741898,1073741898,1073741902,1073741865,498,1073741860,498,1073741860,498,498,1073741928,1073741928,1073741928,498,498,1073741899,1073741899,1073741956,1073741898,1073741956,1073741972,1073741830,1073741907,1073741951,498,1073741928,1073741960,1073741960,1073741929,1073741944,738,1073741894,1073741968,1073741943,741,1073741968,1073741908,1073741904,498,498,1073741902,1073741902,1073741919,1073741971,498,1073741899,-1,498,1073741943,498,1073741928,1073741928,1073741928,-1,-1,-1,-1,-1,1073741846,-1,498,498,498,-1,-1,-1,-1,-1,498,1073741832,-1,-1
1073741975,498,1073741968,1073741929,498,1073741906,1073741872,1073741968,1073741968,1073741833,1073741928,1073741928,-1,1073741928,498,1073741968,1073741860,498,-1,-1,-1,-1,498,1073741860,729,719,498,498,498,1073741840,498,727,1073741898,498,1073741903,708,1073741951,1073741898,1073741898,1073741902,1073741865,498,1073741860,498,1073741860,498,498,1073741928,1073741928,1073741928,498,498,1073741899,1073741899,1073741956,1073741898,1073741956,1073741972,1073741830,1073741907,1073741951,498,1073741928,1073741960,1073741960,1073741929,1073741944,738,1073741894,1073741968,1073741943,741,1073741968,1073741908,1073741904,498,498,1073741902,1073741902,1073741919,1073741971,498,1073741899,-1,498,1073741943,498,1073741928,1073741928,1073741928,-1,-1,-1,-1,-1,1073741846,-1,498,498,498,-1,-1,-1,-1,-1,498,1073741832,-1,-1
1073741974,498,1073741968,1073741929,498,1073741906,1073741872,1073741968,1073741968,1073741833,1073741928,1073741928,-1,1073741928,498,1073741968,1073741860,498,-1,-1,-1,-1,498,1073741860,729,719,498,498,498,1073741840,498,727,1073741898,498,1073741903,708,1073741951,1073741898,1073741898,1073741902,1073741865,498,1073741860,498,1073741860,498,498,1073741928,1073741928,1073741928,498,498,1073741899,1073741899,1073741956,1073741898,1073741956,1073741972,1073741830,1073741907,1073741951,498,1073741928,1073741960,1073741960,1073741929,1073741944,738,1073741894,1073741968,1073741943,741,1073741968,1073741908,1073741904,498,498,1073741902,1073741902,1073741919,1073741971,498,1073741899,-1,498,1073741943,498,1073741928,1073741928,1073741928,-1,-1,-1,-1,-1,1073741846,-1,498,498,498,-1,-1,-1,-1,-1,498,1073741832,-1,-1
1073741973,498,1073741968,1073741929,498,1073741906,1073741872,1073741968,1073741968,1073741833,1073741928,1073741928,-1,1073741928,498,1073741968,1073741860,498,-1,-1,-1,-1,498,1073741860,729,719,498,498,498,1073741840,498,727,1073741898,498,1073741903,708,1073741951,1073741898,1073741898,1073741902,1073741865,498,1073741860,498,1073741860,498,498,1073741928,1073741928,1073741928,498,498,1073741899,1073741899,1073741956,1073741898,1073741956,1073741972,1073741830,1073741907,1073741951,498,1073741928,1073741960,1073741960,1073741929,1073741944,738,1073741894,1073741968,1073741943,741,1073741968,1073741908,1073741904,498,498,1073741902,1073741902,1073741919,1073741971,498,1073741899,-1,498,1073741943,498,1073741928,1073741928,1073741928,-1,-1,-1,-1,-1,1073741846,-1,498,498,498,-1,-1,-1,-1,-1,498,1073741832,-1,-1
1073741972,498,1073741968,1073741929,498,1073741906,1073741872,1073741968,1073741968,1073741833,1073741928,1073741928,-1,1073741928,498,1073741968,1073741860,498,-1,-1,-1,-1,498,1073741860,729,719,498,498,498,1073741840,498,727,1073741898,498,1073741903,708,1073741951,1073741898,1073741898,1073741902,1073741865,498,1073741860,498,1073741860,498,498,1073741928,1073741928,1073741928,498,498,1073741899,1073741899,1073741956,1073741898,1073741956,1073741972,1073741830,1073741907,1073741951,498,1073741928,1073741960,1073741960,1073741929,1073741944,738,1073741894,1073741968,1073741943,741,1073741968,1073741908,1073741904,498,498,1073741902,1073741902,1073741919,1073741971,498,1073741899,-1,498,1073741943,498,1073741928,1073741928,1073741928,-1,550,-1,-1,-1,1073741846,-1,498,498,498,-1,-1,-1,-1,-1,498,1073741832,-1,-1
1073741971,498,1073741968,1073741929,498,1073741906,1073741872,1073741968,1073741968,1073741833,1073741928,1073741928,-1,1073741928,498,1073741968,1073741860,498,-1,-1,-1,-1,498,1073741860,729,719,498,498,498,1073741840,498,727,1073741898,498,1073741903,708,1073741951,1073741898,1073741898,1073741902,1073741865,498,1073741860,498,1073741860,498,498,1073741928,1073741928,1073741928,498,498,1073741899,1073741899,1073741956,1073741898,1073741956,1073741968,1073741830,1073741907,1073741951,498,1073741928,1073741960,1073741960,1073741929,1073741944,738,1073741894,1073741968,1073741943,741,1073741968,1073741908,1073741904,498,498,1073741902,1073741902,1073741919,1073741971,498,1073741899,-1,498,1073741943,498,1073741928,1073741928,1073741928,-1,550,-1,-1,-1,1073741846,-1,498,498,498,-1,-1,-1,-1,-1,498,1073741832,-1,-1
1073741970,498,1073741968,1073741929,498,1073741906,1073741872,1073741968,1073741968,1073741833,1073741928,1073741928,-1,1073741928,498,1073741968,1073741860,498,-1,-1,-1,-1,498,1073741860,729,719,498,498,498,1073741840,498,727,1073741898,498,1073741903,708,1073741951,1073741898,1073741898,1073741902,1073741865,498,1073741860,498,1073741860,498,498,1073741928,1073741928,1073741928,498,498,1073741899,1073741899,1073741956,1073741898,1073741956,1073741968,1073741830,1073741907,1073741951,498,1073741928,1073741960,1073741960,1073741929,1073741944,738,1073741894,1073741968,1073741943,741,1073741968,1073741908,1073741904,498,498,1073741902,1073741902,1073741919,1073741957,498,1073741899,-1,498,1073741943,498,1073741928,1073741928,1073741928,-1,550,-1,-1,-1,1073741846,-1,498,498,498,-1,-1,-1,-1,-1,498,1073741832,-1,-1
1073741969,498,1073741968,1073741929,498,1073741906,1073741872,1073741968,1073741968,1073741833,1073741928,1073741928,-1,1073741928,498,1073741968,1073741860,498,-1,-1,-1,-1,498,1073741860,729,719,498,498,498,1073741840,498,727,1073741898,498,1073741903,708,1073741951,1073741898,1073741898,1073741902,1073741865,498,1073741860,498,1073741860,498,498,1073741928,1073741928,1073741928,498,498,1073741899,1073741899,1073741956,1073741898,1073741956,1073741968,1073741830,1073741907,1073741951,498,1073741928,1073741960,1073741960,1073741929,1073741944,738,1073741894,1073741968,1073741943,741,1073741968,1073741908,1073741904,498,498,1073741902,1073741902,1073741919,1073741957,498,1073741899,-1,498,1073741943,498,1073741928,1073741928,1073741928,-1,550,-1,-1,-1,1073741846,-1,498,498,498,-1,-1,-1,-1,-1,498,1073741832,-1,-1
1073741968,498,1073741968,1073741929,498,1073741906,1073741872,1073741968,1073741968,1073741833,1073741928,1073741928,-1,1073741928,498,1073741968,1073741860,498,-1,-1,-1,-1,498,1073741860,729,719,498,498,498,1073741840,498,727,1073741898,498,1073741903,708,1073741951,1073741898,1073741898,1073741902,1073741865,498,1073741860,498,1073741860,498,498,1073741928,1073741928,1073741928,498,498,1073741899,1073741899,1073741956,1073741898,1073741956,1073741968,1073741830,1073741907,1073741951,498,1073741928,1073741960,1073741960,1073741929,1073741944,738,1073741894,1073741968,1073741943,741,1073741968,1073741908,1073741904,498,498,1073741902,1073741902,1073741919,1073741957,498,1073741899,-1,498,1073741943,498,1073741928,1073741928,1073741928,-1,550,-1,-1,-1,1073741846,-1,498,498,498,-1,-1,-1,-1,-1,498,1073741832,-1,-1
763,498,1073741929,1073741929,498,1073741906,1073741872,-1,-1,1073741833,1073741928,1073741928,-1,1073741928,498,498,1073741860,498,-1,-1,-1,-1,498,1073741860,729,719,498,498,498,1073741840,498,727,1073741898,498,1073741903,708,1073741951,1073741898,1073741898,1073741902,1073741865,498,1073741860,498,1073741860,498,498,1073741928,1073741928,1073741928,498,498,1073741899,1073741899,1073741956,1073741898,1073741956,1073741958,1073741830,1073741907,1073741951,498,1073741928,1073741960,1073741960,1073741929,1073741944,738,1073741894,1073741958,1073741943,741,498,1073741908,1073741904,498,498,1073741902,1073741902,1073741919,1073741957,498,1073741899,-1,498,1073741943,498,1073741928,1073741928,1073741928,-1,550,-1,-1,-1,1073741846,-1,498,498,498,-1,-1,-1,-1,-1,498,1073741832,-1,-1
1073741966,498,1073741929,1073741929,498,1073741906,1073741872,-1,-1,1073741833,1073741928,1073741928,-1,1073741928,498,498,1073741860,498,-1,-1,-1,-1,498,1073741860,729,719,498,498,498,1073741840,498,727,1073741898,498,1073741903,708,1073741951,1073741898,1073741898,1073741902,1073741865,498,1073741860,498,1073741860,498,498,1073741928,1073741928,1073741928,498,498,1073741899,1073741899,1073741956,1073741898,1073741956,1073741958,1073741830,1073741907,1073741951,498,1073741928,1073741960,1073741960,1073741929,1073741944,738,1073741894,1073741958,1073741943,741,498,1073741908,1073741904,498,498,1073741902,1073741902,1073741919,1073741957,498,1073741899,-1,498,1073741943,498,1073741928,1073741928,1073741928,-1,550,-1,-1,-1,1073741846,-1,498,498,498,-1,-1,-1,-1,-1,498,1073741832,-1,-1
763,498,1073741929,1073741929,498,1073741906,1073741872,-1,-1,1073741833,1073741928,1073741928,-1,1073741928,498,498,1073741860,498,-1,-1,-1,-1,498,1073741860,729,719,498,498,498,1073741840,498,727,1073741898,498,1073741903,708,1073741951,1073741898,1073741898,1073741902,1073741865,498,1073741860,498,1073741860,498,498,1073741928,1073741928,1073741928,498,498,1073741899,1073741899,1073741956,1073741898,1073741956,1073741958,1073741830,1073741907,1073741951,498,1073741928,1073741960,1073741960,1073741929,1073741944,738,1073741894,1073741958,1073741943,741,498,1073741908,1073741904,498,498,1073741902,1073741902,1073741919,1073741957,498,1073741899,-1,498,1073741943,498,1073741928,1073741928,1073741928,-1,550,-1,-1,-1,1073741846,-1,498,498,498,-1,-1,-1,-1,-1,498,1073741832,-1,-1
1073741965,498,1073741929,1073741929,498,1073741906,1073741872,-1,-1,1073741833,1073741928,1073741928,-1,1073741928,498,498,1073741860,498,-1,-1,-1,-1,498,1073741860,729,719,498,498,498,1073741840,498,727,1073741898,498,1073741903,708,1073741951,1073741898,1073741898,1073741902,1073741865,498,1073741860,498,1073741860,498,498,1073741928,1073741928,1073741928,498,498,1073741899,1073741899,1073741956,1073741898,1073741956,1073741958,1073741830,1073741907,1073741951,498,1073741928,1073741960,1073741960,1073741929,1073741944,738,1073741894,1073741958,1073741943,741,498,1073741908,1073741904,498,498,1073741902,1073741902,1073741919,1073741957,498,1073741899,-1,498,1073741943,498,1073741928,1073741928,1073741928,-1,550,-1,-1,-1,1073741846,-1,498,498,498,-1,-1,-1,-1,-1,498,1073741832,-1,-1
1073741964,498,1073741929,1073741929,498,1073741906,1073741872,-1,-1,1073741833,1073741928,1073741928,-1,1073741928,498,498,1073741860,498,-1,-1,-1,-1,498,1073741860,729,719,498,498,498,1073741840,498,727,1073741898,498,1073741903,708,1073741951,1073741898,1073741898,1073741902,1073741865,498,1073741860,498,1073741860,498,498,1073741928,1073741928,1073741928,498,498,1073741899,1073741899,1073741956,1073741898,1073741956,1073741958,1073741830,1073741907,1073741951,498,1073741928,1073741960,1073741960,1073741929,1073741944,738,1073741894,1073741958,1073741943,741,498,1073741908,1073741904,498,498,1073741902,1073741902,1073741919,1073741957,498,1073741899,-1,498,1073741943,498,1073741928,1073741928,1073741928,-1,550,-1,-1,-1,1073741846,-1,498,498,498,-1,-1,-1,-1,-1,498,1073741832,-1,-1
1073741963,498,1073741929,1073741929,498,1073741906,1073741872,-1,-1,1073741833,1073741928,1073741928,-1,1073741928,498,498,1073741860,498,-1,-1,-1,-1,498,1073741860,729,719,498,498,498,1073741840,498,727,1073741898,498,1073741903,708,1073741951,1073741898,1073741898,1073741902,1073741865,498,1073741860,498,1073741860,498,498,1073741928,1073741928,1073741928,498,498,1073741899,1073741899,1073741956,1073741898,1073741956,1073741958,1073741830,1073741907,1073741951,498,1073741928,1073741960,1073741960,1073741929,1073741944,738,1073741894,1073741958,1073741943,741,498,1073741908,1073741904,498,498,1073741902,1073741902,1073741919,1073741957,498,1073741899,-1,498,1073741943,498,1073741928,1073741928,1073741928,-1,550,-1,-1,-1,1073741846,-1,498,498,498,-1,-1,-1,-1,-1,498,1073741832,-1,-1
1073741962,498,1073741929,1073741929,498,1073741906,1073741872,-1,-1,1073741833,1073741928,1073741928,-1,1073741928,498,498,1073741860,498,-1,-1,-1,-1,498,1073741860,729,719,498,498,498,1073741840,498,727,1073741898,498,1073741903,708,1073741951,1073741898,1073741898,1073741902,1073741865,498,1073741860,498,1073741860,498,498,1073741928,1073741928,1073741928,498,498,1073741899,1073741899,1073741956,1073741898,1073741956,1073741958,1073741830,1073741907,1073741951,498,1073741928,1073741960,1073741960,1073741929,1073741944,738,1073741894,1073741958,1073741943,741,498,1073741908,1073741904,498,498,1073741902,1073741902,1073741919,1073741957,498,1073741899,-1,498,1073741943,498,1073741928,1073741928,1073741928,-1,550,-1,-1,-1,1073741846,-1,498,498,498,-1,-1,-1,-1,-1,498,1073741832,-1,-1
1073741961,498,1073741929,1073741929,498,1073741906,1073741872,-1,-1,1073741833,1073741928,1073741928,-1,1073741928,498,498,1073741860,498,-1,-1,-1,-1,498,1073741860,729,719,498,498,498,1073741840,498,727,1073741898,498,1073741903,708,1073741951,1073741898,1073741898,1073741902,1073741865,498,1073741860,498,1073741860,498,498,1073741928,1073741928,1073741928,498,498,1073741899,1073741899,1073741956,1073741898,1073741956,1073741958,1073741830,1073741907,1073741951,498,1073741928,1073741960,1073741960,1073741929,1073741944,738,1073741894,1073741958,1073741943,741,498,1073741908,1073741904,498,498,1073741902,1073741902,1073741919,1073741957,498,1073741899,-1,498,1073741943,498,1073741928,1073741928,1073741928,-1,550,-1,-1,-1,1073741846,-1,498,498,498,-1,-1,-1,-1,-1,498,1073741832,-1,-1
1073741960,498,1073741929,1073741929,498,1073741906,1073741872,-1,-1,1073741833,1073741928,1073741928,-1,1073741928,498,498,1073741860,498,-1,-1,-1,-1,498,1073741860,729,719,498,498,498,1073741840,498,727,1073741898,498,1073741903,708,1073741951,1073741898,1073741898,1073741902,1073741865,498,1073741860,498,1073741860,498,498,1073741928,1073741928,1073741928,498,498,1073741899,1073741899,1073741956,1073741898,1073741956,1073741958,1073741830,1073741907,1073741951,498,1073741928,1073741960,1073741960,1073741929,1073741944,738,1073741894,1073741958,1073741943,741,498,1073741908,1073741904,498,498,1073741902,1073741902,1073741919,1073741957,498,1073741899,-1,498,1073741943,498,1073741928,1073741928,1073741928,-1,550,-1,-1,-1,1073741846,-1,498,498,498,-1,-1,-1,-1,-1,498,1073741832,-1,-1
1073741959,498,1073741929,1073741929,498,1073741906,1073741872,-1,-1,1073741833,1073741928,1073741928,-1,1073741928,498,498,1073741860,498,-1,-1,-1,-1,498,1073741860,729,719,498,498,498,1073741840,498,727,1073741898,498,1073741903,708,1073741951,1073741898,1073741898,1073741902,1073741865,498,1073741860,498,1073741860,498,498,1073741928,1073741928,1073741928,498,498,1073741899,1073741899,1073741956,1073741898,1073741956,1073741958,1073741830,1073741907,1073741951,498,1073741928,1073741840,1073741840,1073741929,1073741944,738,1073741894,1073741958,1073741943,741,498,1073741908,1073741904,498,498,1073741902,1073741902,1073741919,1073741957,498,1073741899,-1,498,1073741943,498,1073741928,1073741928,1073741928,-1,550,-1,-1,-1,1073741846,-1,498,498,498,-1,-1,-1,-1,-1,498,1073741832,-1,-1
1073741958,498,1073741929,1073741929,498,1073741906,1073741872,-1,-1,1073741833,1073741928,1073741928,-1,1073741928,498,498,1073741860,498,-1,-1,-1,-1,498,1073741860,729,719,498,498,498,1073741840,498,727,1073741898,498,1073741903,708,1073741951,1073741898,1073741898,1073741902,1073741865,498,1073741860,498,1073741860,498,498,1073741928,1073741928,1073741928,498,498,1073741899,1073741899,1073741956,1073741898,1073741956,1073741958,1073741830,1073741907,1073741951,498,1073741928,1073741840,1073741840,1073741929,1073741944,738,1073741894,1073741958,1073741943,741,498,1073741908,1073741904,498,498,1073741902,1073741902,1073741919,1073741957,498,1073741899,-1,498,1073741943,498,1073741928,1073741928,1073741928,-1,550,-1,-1,-1,1073741846,-1,498,498,498,-1,-1,-1,-1,-1,498,1073741832,-1,-1
